W0629 17:35:44.535000 39575 torch/distributed/run.py:851] 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
============================================================
EXPERIMENT 1: Convergence study — 1024x1024
============================================================

Grid: 1024x1024 | Steps: 500 | Slab: 1024x256
------------------------------------------------------------
Step  200/1000 | Max Temp: 287.9 K | Convergence: 3.82e-02 | Comm: 0.36ms | Overhead: 43.6%
Step  210/1000 | Max Temp: 287.9 K | Convergence: 3.64e-02 | Comm: 0.36ms | Overhead: 43.2%
Step  220/1000 | Max Temp: 287.9 K | Convergence: 3.48e-02 | Comm: 0.36ms | Overhead: 43.3%
Step  230/1000 | Max Temp: 287.9 K | Convergence: 3.34e-02 | Comm: 0.37ms | Overhead: 44.4%
Step  240/1000 | Max Temp: 287.9 K | Convergence: 3.20e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  250/1000 | Max Temp: 287.9 K | Convergence: 3.07e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  260/1000 | Max Temp: 287.9 K | Convergence: 2.95e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  270/1000 | Max Temp: 287.9 K | Convergence: 2.84e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  280/1000 | Max Temp: 287.9 K | Convergence: 2.73e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  290/1000 | Max Temp: 287.9 K | Convergence: 2.65e-02 | Comm: 0.37ms | Overhead: 44.7%
Step  300/1000 | Max Temp: 287.9 K | Convergence: 2.56e-02 | Comm: 0.37ms | Overhead: 44.7%
Step  310/1000 | Max Temp: 287.9 K | Convergence: 2.48e-02 | Comm: 0.37ms | Overhead: 44.7%
Step  320/1000 | Max Temp: 287.8 K | Convergence: 2.40e-02 | Comm: 0.37ms | Overhead: 44.3%
Step  330/1000 | Max Temp: 287.8 K | Convergence: 2.33e-02 | Comm: 0.37ms | Overhead: 44.3%
